Date,0,1,2,3,,ls,amount,exp,NET,eod,pnl,commision,acc,strat,,,,6.64
2015+AC0-09+AC0-01,0.2026,0.0348,0.0968,0.6658,,,,,,,,,12000,,+AC0-8.13+ACU-,,,6.1
2015+AC0-09+AC0-02,0.395145373377411,0.11613171752841,0.164443994337034,0.324278922859651,,1,2500,2500,0.208,2442.62295081967,+AC0-57.3770491803275,+AC0-1,+ACI-+ACQ-11,941.62+ACI-,+AC0-0.48+ACU-,+AC0-2.30+ACU-,,,5.96
2015+AC0-09+AC0-03,0.340488275441341,0.151339974595938,0.079127549703139,0.429044199048863,,,,2442.62295081967,0.205,2311.47540983607,+AC0-131.147540983607,0,+ACI-+ACQ-11,810.48+ACI-,+AC0-1.10+ACU-,+AC0-5.37+ACU-,,,5.64
2015+AC0-09+AC0-04,0.08959326960042,0.221410754545272,0.276722446411478,0.412273536148352,,,,2311.47540983607,0.196,2336.06557377049,24.5901639344265,0,+ACI-+ACQ-11,835.07+ACI-,0.21+ACU-,1.06+ACU-,,,5.7
2015+AC0-09+AC0-08,0.175749977147075,0.27536952938799,0.180841248318864,0.368039258370852,,1,2500,4836.06557377049,0.409,4971.81478285879,135.749209088295,+AC0-1,+ACI-+ACQ-11,969.81+ACI-,1.15+ACU-,2.81+ACU-,,,5.86
2015+AC0-09+AC0-09,0.368178430870579,0.158127761506094,0.185085639902522,0.288608180014263,,1,1000,5971.81478285879,0.499,5462.27427237596,+AC0-509.540510482832,+AC0-1,+ACI-+ACQ-11,459.27+ACI-,+AC0-4.26+ACU-,+AC0-8.53+ACU-,,,5.36
2015+AC0-09+AC0-10,0.108562346661714,0.264303564961763,0.101718009090075,0.525416087854615,,+AC0-1,2500,2962.27427237596,0.259,2940.16774795524,+AC0-22.1065244207161,+AC0-1,+ACI-+ACQ-11,436.17+ACI-,+AC0-0.19+ACU-,+AC0-0.75+ACU-,,,5.32
2015+AC0-09+AC0-11,0.347551991367625,0.090138191631938,0.307169486935791,0.255140333044878,,1,2500,5440.16774795524,0.476,5542.42654021004,102.258792254798,+AC0-1,+ACI-+ACQ-11,537.43+ACI-,0.89+ACU-,1.88+ACU-,,,5.42
2015+AC0-09+AC0-14,0.103248608197296,0.285115097767007,0.263733983741839,0.347902314205413,,,,5542.42654021004,0.480,5378.81247260236,+AC0-163.614067607677,0,+ACI-+ACQ-11,373.81+ACI-,+AC0-1.42+ACU-,+AC0-2.95+ACU-,,,5.26
2015+AC0-09+AC0-15,0.189761766149909,0.139209608445083,0.214820808231172,0.456207825742004,,,,5378.81247260236,0.473,5440.16774795524,61.3552753528784,0,+ACI-+ACQ-11,435.17+ACI-,0.54+ACU-,1.14+ACU-,,,5.32
2015+AC0-09+AC0-16,0.268152795553591,0.115428542743152,0.150416654516699,0.466002006208669,,,,5440.16774795524,0.476,6319.5933613465,879.42561339126,0,+ACI-+ACQ-12,314.59+ACI-,7.69+ACU-,16.17+ACU-,,,6.18
2015+AC0-09+AC0-17,0.152732995663644,0.136485210893584,0.213350602321875,0.497431198757742,,1,1600,7919.5933613465,0.643,8611.59666476513,692.003303418625,+AC0-1,+ACI-+ACQ-13,005.60+ACI-,5.62+ACU-,8.74+ACU-,,,6.72
2015+AC0-09+AC0-18,0.326434011818177,0.029159634423546,0.060737013172407,0.583669339549774,,,,8611.59666476513,0.662,8996.04294444214,384.446279677015,0,+ACI-+ACQ-13,390.04+ACI-,2.96+ACU-,4.46+ACU-,,,7.02
2015+AC0-09+AC0-21,0.083663422295372,0.332318974278628,0.112091665565048,0.471925925940023,,,,8996.04294444214,0.672,8150.26112915271,+AC0-845.781815289431,0,+ACI-+ACQ-12,544.26+ACI-,+AC0-6.32+ACU-,+AC0-9.40+ACU-,,,6.36
2015+AC0-09+AC0-22,0.074246749636425,0.281806284860366,0.174097688863011,0.469849275895141,,1,1250,9400.26112915271,0.749,8129.1566368459,+AC0-1271.10449230681,+AC0-1,+ACI-+ACQ-11,272.16+ACI-,+AC0-10.13+ACU-,+AC0-13.52+ACU-,,,5.5
2015+AC0-09+AC0-23,0.116753689862758,0.211704433556423,0.104533076574728,0.567008795535741,,1,1250,9379.1566368459,0.832,9140.414467908,+AC0-238.742168937895,+AC0-1,+ACI-+ACQ-11,032.41+ACI-,+AC0-2.12+ACU-,+AC0-2.55+ACU-,,,5.36
2015+AC0-09+AC0-24,0.194761868334588,0.285001861585038,0.247488377454846,0.272747907712954,,1,1250,10390.414467908,0.942,12522.7756460234,2132.36117811545,+AC0-1,+ACI-+ACQ-13,163.78+ACI-,19.33+ACU-,20.52+ACU-,,,6.46
2015+AC0-09+AC0-25,0.267689377795671,0.1266317387849,0.091862324608189,0.51381656086015,,+AC0-1,4000,8522.77564602345,0.647,8179.75371599774,+AC0-343.021930025711,+AC0-1,+ACI-+ACQ-12,819.75+ACI-,+AC0-2.61+ACU-,+AC0-4.02+ACU-,,,6.2
2015+AC0-09+AC0-28,0.085005844476971,0.447873307008232,0.079101400779659,0.388019448387063,,,,8179.75371599774,0.638,7045.14271668192,+AC0-1134.61099931582,0,+ACI-+ACQ-11,685.14+ACI-,+AC0-8.85+ACU-,+AC0-13.87+ACU-,,,5.34
2015+AC0-09+AC0-29,0.173174300032934,0.053160871350045,0.078314938643063,0.695349894351174,,,,7045.14271668192,0.603,7150.6879259206,105.54520923868,0,+ACI-+ACQ-11,790.69+ACI-,0.90+ACU-,1.50+ACU-,,,5.42
2015+AC0-09+AC0-30,0.331204344803439,0.035668205052408,0.099625658048408,0.533501808114493,,1,2500,9650.6879259206,0.819,10291.6930280113,641.005102090667,+AC0-1,+ACI-+ACQ-12,430.69+ACI-,5.44+ACU-,6.64+ACU-,,,5.78
2015+AC0-10+AC0-01,0.329335967292339,0.175937795131066,0.105451663145823,0.389274579273649,,,,10291.6930280113,0.828,9615.07653136001,+AC0-676.616496651261,0,+ACI-+ACQ-11,754.08+ACI-,+AC0-5.44+ACU-,+AC0-6.57+ACU-,,,5.4
2015+AC0-10+AC0-02,0.100321799417771,0.088478595816687,0.240436150481366,0.570763462852344,,,,9615.07653136001,0.818,11897.766922694,2282.69039133398,0,+ACI-+ACQ-14,036.77+ACI-,19.42+ACU-,23.74+ACU-,,,6.682
2015+AC0-10+AC0-05,0.180586421491806,0.029469889366082,0.224092848224795,0.565850841569242,,,,11897.766922694,0.848,13443.3014466237,1545.53452392972,0,+ACI-+ACQ-15,582.30+ACI-,11.01+ACU-,12.99+ACU-,,,7.55
2015+AC0-10+AC0-06,0.389748608375583,0.046765912186377,0.066600395183368,0.496885085837921,,,,13443.3014466237,0.863,14938.9800181686,1495.67857154489,0,+ACI-+ACQ-17,077.98+ACI-,9.60+ACU-,11.13+ACU-,,,8.39
2015+AC0-10+AC0-07,0.174346131426314,0.042533176828086,0.096296904551775,0.686823799487283,,+AC0-1,6000,8938.9800181686,0.523,8840.96021344017,+AC0-98.0198047284284,+AC0-1,+ACI-+ACQ-16,978.96+ACI-,+AC0-0.57+ACU-,+AC0-1.10+ACU-,,,8.298
2015+AC0-10+AC0-08,0.139758615594985,0.218479276538234,0.108221673271411,0.53354042965936,,,,8840.96021344017,0.521,8497.89089689067,+AC0-343.069316549498,0,+ACI-+ACQ-16,635.89+ACI-,+AC0-2.02+ACU-,+AC0-3.88+ACU-,,,7.976
2015+AC0-10+AC0-09,0.123160038032017,0.198403832333723,0.336357125324523,0.342079011015259,,1,2400,10897.8908968907,0.655,12649.5328389436,1751.64194205289,+AC0-1,+ACI-+ACQ-18,386.53+ACI-,10.53+ACU-,16.07+ACU-,,,9.258
2015+AC0-10+AC0-12,0.218067424524266,0.079168023874373,0.474492900621893,0.228271654891022,,,,12649.5328389436,0.688,11572.8605687894,+AC0-1076.67227015419,0,+ACI-+ACQ-17,309.86+ACI-,+AC0-5.86+ACU-,+AC0-8.51+ACU-,,,8.47
2015+AC0-10+AC0-13,0.393698923601488,0.093964164835169,0.267866652139539,0.244470267060649,,,,11572.8605687894,0.669,11766.880191076,194.019622286669,0,+ACI-+ACQ-17,503.88+ACI-,1.12+ACU-,1.68+ACU-,,,8.612
2015+AC0-10+AC0-14,0.120318867034761,0.325650135108762,0.107744655498403,0.446286349994918,,+AC0-1,6000,5766.88019107604,0.329,6855.70359919142,1088.82340811538,+AC0-1,+ACI-+ACQ-18,591.70+ACI-,6.22+ACU-,18.88+ACU-,,,10.238
2015+AC0-10+AC0-15,0.208109328639244,0.15197369432937,0.200147716210719,0.439769259144287,,,,6855.70359919142,0.369,6867.75699485321,12.0533956617946,0,+ACI-+ACQ-18,603.76+ACI-,0.06+ACU-,0.18+ACU-,,,10.256
2015+AC0-10+AC0-16,0.251732761939085,0.135358050121062,0.188710397508416,0.42419879341167,,,,6867.75699485321,0.369,6259.73014702495,+AC0-608.026847828268,0,+ACI-+ACQ-17,995.73+ACI-,+AC0-3.27+ACU-,+AC0-8.85+ACU-,,,9.348
2015+AC0-10+AC0-19,0.109951790405652,0.305618799869822,0.313752282010198,0.270677140007786,,,,6259.73014702495,0.348,5499.02695414729,+AC0-760.703192877658,0,+ACI-+ACQ-17,235.03+ACI-,+AC0-4.23+ACU-,+AC0-12.15+ACU-,,,8.212
2015+AC0-10+AC0-20,0.333282920191838,0.158722919572022,0.096796159602789,0.41119799150639,,,,5499.02695414729,0.319,6107.05380197556,608.026847828268,0,+ACI-+ACQ-17,843.05+ACI-,3.53+ACU-,11.06+ACU-,,,9.12
2015+AC0-10+AC0-21,0.381880975601698,0.125088826043298,0.190521564262999,0.302508644522817,,,,6107.05380197556,0.342,5588.75778851842,+AC0-518.296013457136,0,+ACI-+ACQ-17,324.76+ACI-,+AC0-2.90+ACU-,+AC0-8.49+ACU-,,,8.346
2015+AC0-10+AC0-22,0.347457578956178,0.108917039364154,0.179666846443886,0.363958538216015,,+AC0-1,3500,2088.75778851842,0.121,2194.8724904513,106.114701932879,+AC0-1,+ACI-+ACQ-17,429.87+ACI-,0.61+ACU-,5.08+ACU-,,,8.77
2015+AC0-10+AC0-23,0.215237554656758,0.157766080719762,0.093894164081808,0.533102199796615,,,,2194.8724904513,0.126,2356.04670753803,161.174217086732,0,+ACI-+ACQ-17,591.05+ACI-,0.92+ACU-,7.34+ACU-,,,9.414
2015+AC0-10+AC0-26,0.241751245070421,0.13779541646104,0.121973083355786,0.49848025995563,,1,2500,4856.04670753803,0.276,4423.77911236947,+AC0-432.267595168565,+AC0-1,+ACI-+ACQ-17,157.78+ACI-,+AC0-2.46+ACU-,+AC0-8.90+ACU-,,,8.576
2015+AC0-10+AC0-27,0.204360834450332,0.2456165525574,0.22074616404293,0.329276453792216,,,,4423.77911236947,0.258,4433.0640965139,9.28498414443129,0,+ACI-+ACQ-17,167.06+ACI-,0.05+ACU-,0.21+ACU-,,,8.594
2015+AC0-10+AC0-28,0.481877453234354,0.129730650763514,0.098385463246537,0.290006427353924,,,,4433.0640965139,0.258,4277.28269586843,+AC0-155.781400645473,0,+ACI-+ACQ-17,011.28+ACI-,+AC0-0.91+ACU-,+AC0-3.51+ACU-,,,8.292
2015+AC0-10+AC0-29,0.369611377818794,0.176048969609238,0.110411685930489,0.343927957514518,,+AC0-1,4433,+AC0-155.717304131575,+AC0-0.009,+AC0-176.862707466375,21.1454033347991,+AC0-1,+ACI-+ACQ-17,031.43+ACI-,0.12+ACU-,+AC0-13.58+ACU-,,,7.166
2015+AC0-10+AC0-30,0.105646274866862,0.224459238270044,0.230977483262212,0.438917010306403,,,,+AC0-176.862707466375,+AC0-0.010,+AC0-182.489932878366,5.62722541199182,0,+ACI-+ACQ-17,037.06+ACI-,0.03+ACU-,+AC0-3.18+ACU-,,,6.938
2015+AC0-11+AC0-02,0.151890086765434,0.214633495391601,0.210261872166442,0.423214557969982,,1,4200,4017.51006712163,0.236,4059.20230189142,41.6922347697832,+AC0-1,+ACI-+ACQ-17,077.75+ACI-,0.24+ACU-,1.04+ACU-,,,7.01
2015+AC0-11+AC0-03,0.442597770207978,0.192959758665938,0.106300674327532,0.258141806996534,,1,2800,6859.20230189142,0.402,6714.38604787146,+AC0-144.816254019961,+AC0-1,+ACI-+ACQ-16,931.93+ACI-,+AC0-0.85+ACU-,+AC0-2.11+ACU-,,,6.862
2015+AC0-11+AC0-04,0.120826630480741,0.301091604442345,0.102593046353568,0.475488707733739,,+AC0-1,4400,2314.38604787146,0.137,2165.31017594502,+AC0-149.075871926433,+AC0-1,+ACI-+ACQ-16,781.86+ACI-,+AC0-0.88+ACU-,+AC0-6.44+ACU-,,,6.42
2015+AC0-11+AC0-05,0.198619636764838,0.218190319468221,0.157557360504257,0.42563268018932,,,,2165.31017594502,0.129,1938.66088650031,+AC0-226.649289444712,0,+ACI-+ACQ-16,555.21+ACI-,+AC0-1.35+ACU-,+AC0-10.47+ACU-,,,5.748
2015+AC0-11+AC0-06,0.30952681546961,0.25055372301472,0.125259103633863,0.314660360862039,,1,2800,4738.66088650031,0.286,4120.35962260413,+AC0-618.301263896178,+AC0-1,+ACI-+ACQ-15,935.90+ACI-,+AC0-3.73+ACU-,+AC0-13.05+ACU-,,,4.998
2015+AC0-11+AC0-09,0.17301679227856,0.076355233851029,0.1882743966687,0.56235357552533,,+AC0-1,4400,+AC0-279.640377395867,+AC0-0.018,+AC0-258.71490697849,+AC0-20.9254704173778,+AC0-1,+ACI-+ACQ-15,913.98+ACI-,+AC0-0.13+ACU-,7.48+ACU-,,,5.372
2015+AC0-11+AC0-10,0.117292576027508,0.276746794292122,0.272592102025436,0.333368539948392,,1,4400,4141.28509302151,0.260,3825.21530744094,+AC0-316.06978558057,+AC0-1,+ACI-+ACQ-15,596.91+ACI-,+AC0-1.99+ACU-,+AC0-7.63+ACU-,,,4.962
2015+AC0-11+AC0-11,0.28211365801993,0.123396867648087,0.085861579638529,0.508627897790102,,,,3825.21530744094,0.245,3960.89404466577,135.67873722483,0,+ACI-+ACQ-15,732.59+ACI-,0.87+ACU-,3.55+ACU-,,,5.138
2015+AC0-11+AC0-12,0.161389460450222,0.045595712849946,0.273953638784974,0.519061191826413,,,,3960.89404466577,0.252,3802.08824995944,+AC0-158.805794706334,0,+ACI-+ACQ-15,573.78+ACI-,+AC0-1.01+ACU-,+AC0-4.01+ACU-,,,4.932
2015+AC0-11+AC0-13,0.295159064701889,0.145667102529985,0.122502983666827,0.436670857669467,,1,4000,7802.08824995944,0.501,8071.01667706672,268.928427107279,+AC0-1,+ACI-+ACQ-15,841.71+ACI-,1.73+ACU-,3.45+ACU-,,,5.102
2015+AC0-11+AC0-16,0.211223525013618,0.11459781638611,0.130555721756046,0.543622937961813,,,,8071.01667706672,0.509,8257.68464411765,186.667967050935,0,+ACI-+ACQ-16,028.38+ACI-,1.18+ACU-,2.31+ACU-,,,5.22
2015+AC0-11+AC0-17,0.207122134237995,0.093176202479893,0.320295424285775,0.379406236388634,,1,2200,10457.6846441177,0.652,9039.28603721434,+AC0-1418.39860690331,+AC0-1,+ACI-+ACQ-14,608.98+ACI-,+AC0-8.85+ACU-,+AC0-13.56+ACU-,,,4.512
2015+AC0-11+AC0-18,0.130714742821161,0.37623559819421,0.204545253053859,0.288504403323067,,,,9039.28603721434,0.619,9796.56664937458,757.280612160243,0,+ACI-+ACQ-15,366.26+ACI-,5.18+ACU-,8.38+ACU-,,,4.89
2015+AC0-11+AC0-19,0.228323466418412,0.275707668366465,0.18192776033691,0.314041101339188,,+AC0-1,4400,5396.56664937458,0.351,5963.81312335792,567.246473983341,+AC0-1,+ACI-+ACQ-15,932.51+ACI-,3.69+ACU-,10.51+ACU-,,,5.404
2015+AC0-11+AC0-20,0.39231315088418,0.047175908666227,0.118773219266409,0.441737726026062,,,,5963.81312335792,0.374,5297.24333680941,+AC0-666.569786548517,0,+ACI-+ACQ-15,265.94+ACI-,+AC0-4.18+ACU-,+AC0-11.18+ACU-,,,4.8
2015+AC0-11+AC0-23,0.219792439264024,0.20584900222188,0.141009491304446,0.43334906751233,,+AC0-1,4400,897.243336809405,0.059,878.92461868288,+AC0-18.3187181265254,+AC0-1,+ACI-+ACQ-15,246.62+ACI-,+AC0-0.12+ACU-,+AC0-2.04+ACU-,,,4.702
2015+AC0-11+AC0-24,0.208232825894515,0.031906616997039,0.08667178713591,0.673188775048244,,,,878.92461868288,0.058,975.004425999554,96.079807316674,0,+ACI-+ACQ-15,342.70+ACI-,0.63+ACU-,10.93+ACU-,,,5.216
2015+AC0-11+AC0-25,0.423335784644291,0.11406182740835,0.084203929894075,0.37839845870521,,1,4400,5375.00442599955,0.350,5249.28538075953,+AC0-125.71904524002,+AC0-1,+ACI-+ACQ-15,215.98+ACI-,+AC0-0.82+ACU-,+AC0-2.34+ACU-,,,5.094
2015+AC0-11+AC0-27,0.207333688094387,0.12680272857903,0.354688969088158,0.311174624669237,,+AC0-1,2000,3249.28538075953,0.214,3074.51031316469,+AC0-174.77506759484,+AC0-1,+ACI-+ACQ-15,040.20+ACI-,+AC0-1.15+ACU-,+AC0-5.38+ACU-,,,4.82
2015+AC0-11+AC0-30,0.120964420830608,0.23503612443188,0.170209069100672,0.473790397930298,,+AC0-1,3000,74.5103131646943,0.005,78.6841273876128,4.17381422291854,+AC0-1,+ACI-+ACQ-15,043.38+ACI-,0.03+ACU-,5.60+ACU-,,,5.09
2015+AC0-12+AC0-01,0.466189537362123,0.045303177875326,0.077519531705788,0.410987756968318,,1,4400,4478.68412738761,0.298,4897.51588468359,418.831757295974,+AC0-1,+ACI-+ACQ-15,461.21+ACI-,2.78+ACU-,9.35+ACU-,,,5.566
2015+AC0-12+AC0-02,0.080965770260567,0.269141036041856,0.258825492807026,0.39106768431301,,+AC0-1,4800,97.5158846835866,0.006,90.1925573753331,+AC0-7.32332730825354,+AC0-1,+ACI-+ACQ-15,452.89+ACI-,+AC0-0.05+ACU-,+AC0-7.51+ACU-,,,5.148
2015+AC0-12+AC0-03,0.216245567322439,0.029078966831196,0.07432370123803,0.680351768519891,,,,90.1925573753331,0.006,95.2733346944563,5.08077731912327,0,+ACI-+ACQ-15,457.97+ACI-,0.03+ACU-,5.63+ACU-,,,5.438
2015+AC0-12+AC0-04,0.383199234247836,0.139471072768167,0.08029017040112,0.397039532082368,,1,4400,4495.27333469446,0.291,5194.61155484001,699.338220145552,+AC0-1,+ACI-+ACQ-16,156.31+ACI-,4.52+ACU-,15.56+ACU-,,,6.284
2015+AC0-12+AC0-07,0.377254970077041,0.047028452119839,0.1796007414643,0.396115839319052,,+AC0-1,2700,2494.61155484001,0.154,2187.35036078428,+AC0-307.261194055724,+AC0-1,+ACI-+ACQ-15,848.04+ACI-,+AC0-1.90+ACU-,+AC0-12.32+ACU-,,,5.51
2015+AC0-12+AC0-08,0.164790998000556,0.203636782076366,0.21034958660833,0.421222626981754,,+AC0-1,2200,+AC0-12.649639215716,+AC0-0.001,+AC0-12.9297219714905,0.280082755774473,+AC0-1,+ACI-+ACQ-15,847.32+ACI-,0.00+ACU-,+AC0-2.21+ACU-,,,5.388
2015+AC0-12+AC0-09,0.278485897121876,0.06346200393955,0.063425729089152,0.594626372131164,,,,+AC0-12.9297219714905,+AC0-0.001,+AC0-12.4737740920207,+AC0-0.455947879469782,0,+ACI-+ACQ-15,846.87+ACI-,0.00+ACU-,3.53+ACU-,,,5.578
2015+AC0-12+AC0-10,0.095067173096926,0.198115862042451,0.065620102626265,0.6411968614893,,1,4400,4387.52622590798,0.277,4346.62422451909,+AC0-40.9020013888876,+AC0-1,+ACI-+ACQ-15,804.97+ACI-,+AC0-0.26+ACU-,+AC0-0.93+ACU-,,,5.526
2015+AC0-12+AC0-11,0.286982502020516,0.031573105586937,0.180777715707111,0.50066668059699,,1,4400,8746.62422451909,0.553,9003.0399183975,256.415693878411,+AC0-1,+ACI-+ACQ-16,060.38+ACI-,1.62+ACU-,2.93+ACU-,,,5.688
2015+AC0-12+AC0-14,0.314803169660861,0.078413974495967,0.123365121251004,0.48341773012182,,,,9003.0399183975,0.561,7543.68640138581,+AC0-1459.35351701169,0,+ACI-+ACQ-14,601.03+ACI-,+AC0-9.09+ACU-,+AC0-16.21+ACU-,,,4.766
2015+AC0-12+AC0-15,0.079049178448157,0.207600449555397,0.084467739303954,0.628882638001031,,+AC0-1,2200,5343.68640138581,0.366,5386.29237772922,42.6059763434041,+AC0-1,+ACI-+ACQ-14,642.63+ACI-,0.29+ACU-,0.80+ACU-,,,4.804
2015+AC0-12+AC0-16,0.364011253888614,0.032969474887441,0.287299361781859,0.315719915216286,,1,4400,9786.29237772922,0.668,10927.0758355827,1140.78345785353,+AC0-1,+ACI-+ACQ-15,782.42+ACI-,7.79+ACU-,11.66+ACU-,,,5.364
2015+AC0-12+AC0-17,0.078958601488436,0.232059823824453,0.24481418550749,0.444167391694192,,+AC0-1,6000,4927.07583558275,0.312,4063.64345574535,+AC0-863.432379837393,+AC0-1,+ACI-+ACQ-14,917.99+ACI-,+AC0-5.47+ACU-,+AC0-17.52+ACU-,,,4.424
2015+AC0-12+AC0-18,0.173238991666683,0.157652146613016,0.170945930417351,0.498162939871118,,,,4063.64345574535,0.272,4313.48771884724,249.844263101883,0,+ACI-+ACQ-15,167.83+ACI-,1.67+ACU-,6.15+ACU-,,,4.696
2015+AC0-12+AC0-21,0.094821706164038,0.252858233942091,0.191390340222234,0.460929726377159,,,,4313.48771884724,0.284,4561.49489177925,248.007172932018,0,+ACI-+ACQ-15,415.84+ACI-,1.64+ACU-,5.75+ACU-,,,4.966
2015+AC0-12+AC0-22,0.087767826415135,0.148226977643063,0.167414317993914,0.596590879996798,,,,4561.49489177925,0.296,4480.66292430512,+AC0-80.8319674741388,0,+ACI-+ACQ-15,335.01+ACI-,+AC0-0.52+ACU-,+AC0-1.77+ACU-,,,4.878
2015+AC0-12+AC0-23,0.333015514353681,0.070893380989537,0.200069181828753,0.396021930464873,,1,3500,7980.66292430512,0.520,8491.11122942672,510.448305121606,+AC0-1,+ACI-+ACQ-15,844.45+ACI-,3.33+ACU-,6.40+ACU-,,,5.19
2015+AC0-12+AC0-24,0.163545741557665,0.11748602605313,0.318073178672827,0.400895046219231,,,,8491.11122942672,0.536,9017.92005714838,526.808827721658,0,+ACI-+ACQ-16,371.26+ACI-,3.32+ACU-,6.20+ACU-,,,5.512
2015+AC0-12+AC0-28,0.060741758811798,0.298455822610165,0.185489997979922,0.45531241379946,,,,9017.92005714838,0.551,8176.98919550573,+AC0-840.930861642647,0,+ACI-+ACQ-15,530.33+ACI-,+AC0-5.14+ACU-,+AC0-9.33+ACU-,,,4.998
2015+AC0-12+AC0-29,0.419093668527881,0.045066458706445,0.10131108106913,0.434528790951486,,,,8176.98919550573,0.527,8376.58757122636,199.598375720628,0,+ACI-+ACQ-15,729.93+ACI-,1.29+ACU-,2.44+ACU-,,,5.12
2015+AC0-12+AC0-30,0.26689699844861,0.026643116881658,0.162647774708356,0.543812115968406,,,,8376.58757122636,0.533,7879.22768418479,+AC0-497.359887041565,0,+ACI-+ACQ-15,232.57+ACI-,+AC0-3.16+ACU-,+AC0-5.94+ACU-,,,4.816
2015+AC0-12+AC0-31,0.197837198976491,0.187553450745028,0.165136323798915,0.449473033185089,,,,7879.22768418479,0.517,7944.669774585,65.4420904002072,0,+ACI-+ACQ-15,298.01+ACI-,0.43+ACU-,0.83+ACU-,,,4.856
2016+AC0-01+AC0-04,0.117338009168058,0.149720771717184,0.227018912874295,0.505922319465243,,,,7944.669774585,0.519,8625.26751474714,680.597740162143,0,+ACI-+ACQ-15,978.61+ACI-,4.45+ACU-,8.57+ACU-,,,5.272
2016+AC0-01+AC0-05,0.381297125854472,0.248664749226991,0.104203659563805,0.265834467403642,,,,8625.26751474714,0.540,8494.38333394673,+AC0-130.884180800413,0,+ACI-+ACQ-15,847.73+ACI-,+AC0-0.82+ACU-,+AC0-1.52+ACU-,,,5.192
2016+AC0-01+AC0-06,0.150790004968531,0.031512124312203,0.339468352565722,0.478229506698276,,+AC0-1,3600,4894.38333394673,0.309,5122.51137069849,228.128036751755,+AC0-1,+ACI-+ACQ-16,074.85+ACI-,1.44+ACU-,4.66+ACU-,,,5.434
